DriverName,LapNum,Timestamp,LapTime,LapTimeMins,S1,S2,S3,S1Mins,S2Mins,S3Mins
Yuval Rosen,443,1682800473,40593,00:40.593,5367,26522,8704,00:05.367,00:26.522,00:08.704
Y.Cohen,43,1682678007,40594,00:40.594,5503,27333,7758,00:05.503,00:27.333,00:07.758
leviarnon1,50,1682789546,40594,00:40.594,5534,27338,7722,00:05.534,00:27.338,00:07.722
TAL S,94,1682791623,40597,00:40.597,5425,27369,7803,00:05.425,00:27.369,00:07.803
Hublot,68,1682791769,40597,00:40.597,5358,27193,8046,00:05.358,00:27.193,00:08.046
Y.Cohen,360,1682783264,40598,00:40.598,5391,27566,7641,00:05.391,00:27.566,00:07.641
chachacha,63,1682770001,40600,00:40.600,5320,26973,8307,00:05.320,00:26.973,00:08.307
serbansim,152,1682761079,40600,00:40.600,5500,27324,7776,00:05.500,00:27.324,00:07.776
U.V,169,1682684636,40601,00:40.601,5438,27360,7803,00:05.438,00:27.360,00:07.803
yarimalk23,36,1682549636,40602,00:40.602,5528,27261,7813,00:05.528,00:27.261,00:07.813
Player,232,1682765963,40603,00:40.603,5467,27396,7740,00:05.467,00:27.396,00:07.740
serbansim,156,1682771273,40603,00:40.603,5552,27207,7844,00:05.552,00:27.207,00:07.844
Y.Cohen,328,1682781835,40604,00:40.604,5423,27504,7677,00:05.423,00:27.504,00:07.677
tomerventura,134,1682798567,40604,00:40.604,5509,27157,7938,00:05.509,00:27.157,00:07.938
Reem Gross,92,1682712626,40604,00:40.604,5379,27368,7857,00:05.379,00:27.368,00:07.857
yarimalk23,224,1682725205,40604,00:40.604,5423,26856,8325,00:05.423,00:26.856,00:08.325
Daniel Lerman,115,1682751588,40604,00:40.604,5689,27202,7713,00:05.689,00:27.202,00:07.713
tomerventura,142,1682799361,40605,00:40.605,5585,27135,7885,00:05.585,00:27.135,00:07.885
Ido,85,1682786145,40606,00:40.606,5438,27253,7915,00:05.438,00:27.253,00:07.915
tomerventura,137,1682798775,40606,00:40.606,5546,27163,7897,00:05.546,00:27.163,00:07.897
TAL S,76,1682790589,40607,00:40.607,5516,27212,7879,00:05.516,00:27.212,00:07.879
Y.Cohen,12,1682538746,40607,00:40.607,5440,27158,8009,00:05.440,00:27.158,00:08.009
TAL S,64,1682790029,40610,00:40.610,5465,27370,7775,00:05.465,00:27.370,00:07.775
Ido,50,1682779400,40612,00:40.612,5566,27198,7848,00:05.566,00:27.198,00:07.848
ITZYuval,241,1682793167,40612,00:40.612,5530,27266,7816,00:05.530,00:27.266,00:07.816
ITZYuval,315,1682799486,40612,00:40.612,5544,27256,7812,00:05.544,00:27.256,00:07.812
Hublot,44,1682790163,40612,00:40.612,5867,26987,7758,00:05.867,00:26.987,00:07.758
tomerventura,139,1682799239,40614,00:40.614,5509,27261,7844,00:05.509,00:27.261,00:07.844
